run,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
498,15,0.003662109375,0,0,0,0,0.5466451644897461,0,0,0,-0.7708753856148823,1.0,5.0,30.0
499,4715,1.151123046875,0,0,0,0,174.07203817367554,1,0,0,-0.384766332603129,1.0,5.0,1.3997879109225875
500,4751,1.159912109375,0,0,0,0,175.7520730495453,1,0,0,-0.37367713441862227,1.0,5.0,1.0
501,4862,1.18701171875,0,0,0,0,181.12449717521667,1,0,0,-0.3675797223092473,1.0,5.0,1.0
502,257,0.062744140625,0,0,0,0,9.130462408065796,0,0,0,-0.7136185997637037,1.0,5.0,11.867704280155642
503,11179,2.729248046875,0,0,0,0,526.7050693035126,1,1,0,0.12316842842939743,1.0,5.0,2.0037570444583594
504,301,0.073486328125,0,0,0,0,10.767958641052246,0,0,0,-0.7593764380236527,1.0,5.0,32.72425249169435
505,4856,1.185546875,0,0,0,0,183.28212428092957,1,0,0,-0.36790931215299727,1.0,5.0,1.0
506,4770,1.16455078125,0,0,0,0,178.05758094787598,1,0,0,-0.3852166219098785,1.0,5.0,1.572327044025157
507,4825,1.177978515625,0,0,0,0,181.45946884155273,1,0,0,-0.36961219301237225,1.0,5.0,1.0
508,1730,0.42236328125,0,0,0,0,62.38735222816467,0,0,0,-0.659349309078306,1.0,5.0,20.92485549132948
509,4870,1.18896484375,0,0,0,0,181.81193614006042,1,0,0,-0.36714026918424725,1.0,5.0,1.0
510,4333,1.057861328125,0,0,0,0,159.61948084831238,1,0,0,-0.39663856019987226,1.0,5.0,1.0
511,4782,1.16748046875,0,0,0,0,177.401193857193,1,0,0,-0.3719742535592473,1.0,5.0,1.0
512,3907,0.953857421875,0,0,0,0,142.14386796951294,0,0,0,-0.4200394391061223,1.0,5.0,1.0
513,4981,1.216064453125,0,0,0,0,186.2841193675995,1,0,0,-0.36104285707487227,1.0,5.0,1.0
514,5517,1.346923828125,0,0,0,0,210.53233003616333,1,0,0,-0.3315994976998723,1.0,5.0,1.0
515,4910,1.19873046875,0,0,0,0,185.43405199050903,1,0,0,-0.36494300355924725,1.0,5.0,1.0
516,4792,1.169921875,0,0,0,0,179.38219952583313,1,0,0,-0.37172661288351416,1.0,5.0,1.0121035058430718
517,1990,0.48583984375,0,0,0,0,71.63245725631714,0,0,0,-0.611261390066655,1.0,5.0,10.15075376884422
518,4839,1.181396484375,0,0,0,0,180.0581271648407,1,0,0,-0.3688431500436223,1.0,5.0,1.0
519,5029,1.227783203125,0,0,0,0,188.46590161323547,1,0,0,-0.4565627224322781,1.0,5.0,13.243189500894811
520,4810,1.17431640625,0,0,0,0,178.90491604804993,1,0,0,-0.37043616762174725,1.0,5.0,1.0
521,9291,2.268310546875,0,0,0,0,407.2602016925812,1,1,0,-0.06391761293424725,1.0,5.0,1.0
522,4762,1.16259765625,0,0,0,0,176.98751974105835,1,0,0,-0.43305897970765295,1.0,5.0,5.638387232255355
523,380,0.0927734375,0,0,0,0,13.664534091949463,0,0,0,-0.7217069151424466,1.0,5.0,16.315789473684212
524,4824,1.177734375,0,0,0,0,179.77158641815186,1,0,0,-0.3696671246529973,1.0,5.0,1.0
